OBJECTID,Route,Direction,Exit_Num,Ramp_Num,Beg_MP,End_MP,Speed_Limit,Name,Type,Shape__Length
761,0039PM,P,,,36.286,46.028,45,39,M,15678.26006
762,0039PM,P,,,13.858,17.615,55,39,M,6046.317143
763,0089PM,P,,,83.988,85.204,55,89,M,1956.966273
764,0039PM,P,,,8.911,13.313,40,39,M,7084.346294
765,0056PM,P,,,59.705,60.726,45,56,M,1643.142493
766,0039PM,P,,,7.842,8.911,50,39,M,1720.392722
767,0039PM,P,,,6.46,7.842,45,39,M,2224.116549
768,0039PM,P,,,0,3.613,55,39,M,5814.571545
769,0121PM,P,,,0.728,1.6,45,121,M,1403.351016
770,0115PM,P,,,5.645,6.032,50,115,M,622.8180833
771,0089PM,P,,,262.165,262.377,45,89,M,341.1831831
772,0038PM,P,,,13.187,14.599,45,38,M,2272.397687
773,0089PM,P,,,71.715,77.848,65,89,M,9870.126951
774,0095PM,P,,,113.566,121.331684,55,95,M,12497.68132
775,0273PM,P,,,1.952,2.613,35,273,M,1063.777783
776,0173PM,P,,,0,1.53,55,173,M,2462.301081
777,0038PM,P,,,10.311,13.187,55,38,M,4628.483011
778,0193PM,P,,,6.275,9.458077,55,193,M,5122.676168
779,0038PM,P,,,0,8.077,55,38,M,12998.69774
780,0037PM,P,,,2.113,9.21,45,37,M,11421.53623
781,0099PM,P,,,3.496,4.173986,45,99,M,1091.116139
782,0121PM,P,,,22.322,23.545,55,121,M,1968.231508
783,0284PM,P,,,1.414,1.632,15,284,M,350.7128507
784,0036PM,P,,,57.184,65.025,60,36,M,12618.89216
785,0070NM,N,,,68.469,70.804,70,70,M,3757.82579
786,0114PM,P,,,7.788,10.561,50,114,M,4462.71937
787,0036PM,P,,,55.641,56.687,40,36,M,1683.376556
788,0112PM,P,,,1.069,5.956,60,112,M,7864.879621
789,0252PM,P,,,6.568,6.83476,50,252,M,429.309611
790,0036PM,P,,,53.05,55.641,35,36,M,4169.818547
791,0089PM,P,,,254.651,255.182,55,89,M,854.567262
792,0279PM,P,,,9.946,10.904,40,279,M,1541.755464
793,0191PM,P,,,354.305,358.767,55,191,M,7180.907058
794,0036PM,P,,,48.391,51.081,60,36,M,4329.142949
795,0050PM,P,,,89.416092,90.239,45,50,M,1324.344015
796,0036PM,P,,,21.785,47.231,65,36,M,40951.44903
797,0075PM,P,,,0.406,0.954,45,75,M,881.9218477
798,0038PM,P,,,14.599,18.954028,55,38,M,7008.75258
799,0040PM,P,,,19.05,34.792,60,40,M,25334.3439
800,0118PM,P,,,6.85,8.504,55,118,M,2661.860001
801,0089PM,P,,,497.469,498.473,35,89,M,1615.789289
802,0036PM,P,,,20.369,21.785,55,36,M,2278.83596
803,0036PM,P,,,0,20.369,65,36,M,32780.79298
804,0215NM,N,,,2.174,28.724067,70,215,M,42728.27552
805,0039PM,P,,,17.615,19.815,50,39,M,3540.564227
806,0035PM,P,,,41.964,42.853,40,35,M,1430.708873
807,0092PM,P,,,0.729,3.229,55,92,M,4023.368095
808,0035PM,P,,,38.117,41.964,55,35,M,6191.159214
809,0035PM,P,,,37.274,38.117,40,35,M,1356.679548
810,0092PM,P,,,25.056,27.312817,35,92,M,3632.002123
811,0035PM,P,,,29.63,31.402,45,35,M,2851.763278
812,0036PM,P,,,47.231,48.391,40,36,M,1866.843665
813,0035PM,P,,,28.397,29.63,55,35,M,1984.325669
814,0044PM,P,,,19.901,21.854,55,44,M,3143.054112
815,0191PM,P,,,353.898,354.305,50,191,M,655.004507
816,0035PM,P,,,27.295,28.397,45,35,M,1773.499539
817,0035PM,P,,,23.644,27.295,50,35,M,5875.726845
818,0035PM,P,,,12.193,15.891,50,35,M,5951.365543
819,0059PM,P,,,4.461,5.855,55,59,M,2243.429787
820,0118PM,P,,,6.052,6.544,30,118,M,791.798226
821,0035PM,P,,,7.021,12.193,45,35,M,8323.543753
822,0035PM,P,,,5.3,7.021,50,35,M,2769.687602
823,0035PM,P,,,1.31,2.89,50,35,M,2542.768737
824,0282PM,P,,,0,1.17,25,282,M,1881.422448
825,0050PM,P,,,90.239,90.666,55,50,M,687.190937
826,0043PM,P,,,0,7.222,55,43,M,11622.70551
827,0035PM,P,,,0,1.31,35,35,M,2108.244435
828,0032PM,P,,,27.907,29.03433,30,32,M,1814.266215
829,0032PM,P,,,19.716,20.372,50,32,M,1055.730879
830,0032PM,P,,,18.815,19.716,55,32,M,1450.022993
