OBJECTID,LAYER_ID,LAYER_SEGMENT_ID,SHORT_NAME,LAYER_CODE,HPMS_DATA_ITEM,ROUTE_DIR_ID,ROUTE_NAME,START_ACCUM,END_ACCUM,URBAN_CODE,URBAN_DESC,ERR_CD
195762080,14,6925534,Urban Code,URBAN-CODE,Urban_Code,1710,1712,0,9.561,99999,Rurall,0
195762081,14,6920431,Urban Code,URBAN-CODE,Urban_Code,1656,1392,0.185,2.605,64945,Ogden - Layton,0
195762065,14,6918796,Urban Code,URBAN-CODE,Urban_Code,6845,3181,0,1.637,99998,Small Urban,0
195762066,14,6924985,Urban Code,URBAN-CODE,Urban_Code,2302,1572,0,8.04,99999,Rurall,0
195762067,14,6925025,Urban Code,URBAN-CODE,Urban_Code,6643,1581,1.33,2.856,99998,Small Urban,0
195762068,14,6920997,Urban Code,URBAN-CODE,Urban_Code,2458,1732,0,13.014,99999,Rurall,0
195762069,14,6920998,Urban Code,URBAN-CODE,Urban_Code,2460,1736,0,8.656,99999,Rurall,0
195762070,14,6920999,Urban Code,URBAN-CODE,Urban_Code,2544,1746,0,15.512,99999,Rurall,0
195762071,14,6921000,Urban Code,URBAN-CODE,Urban_Code,2467,1782,0.767,74.146,99999,Rurall,0
195762072,14,7173061,Urban Code,URBAN-CODE,Urban_Code,2518,3118,0,6.364,99998,Small Urban,0
195762073,14,7172867,Urban Code,URBAN-CODE,Urban_Code,6012,3127,0.867,1.39,99998,Small Urban,0
195762074,14,7172900,Urban Code,URBAN-CODE,Urban_Code,2279,3114,4.12,4.992,99998,Small Urban,0
195762075,14,7172934,Urban Code,URBAN-CODE,Urban_Code,6011,3125,0.503,0.658,99998,Small Urban,0
195762358,14,6921059,Urban Code,URBAN-CODE,Urban_Code,2276,3104,0,4.656,99999,Rurall,0
195762359,14,6921060,Urban Code,URBAN-CODE,Urban_Code,2277,3108,0,13.334,99999,Rurall,0
195762360,14,6921057,Urban Code,URBAN-CODE,Urban_Code,6236,2852,0.49,17.173,99999,Rurall,0
195762361,14,6921058,Urban Code,URBAN-CODE,Urban_Code,6259,2950,0,2.869,72559,Provo-Orem,0
195762158,14,7170786,Urban Code,URBAN-CODE,Urban_Code,7032,2051,0,1.652,0,Unknown,0
195762159,14,7172497,Urban Code,URBAN-CODE,Urban_Code,7084,2117,0,1.369,0,Unknown,0
195762160,14,7172542,Urban Code,URBAN-CODE,Urban_Code,7085,2115,0,0.824,0,Unknown,0
195762161,14,7172587,Urban Code,URBAN-CODE,Urban_Code,7086,2125,0,1.132,0,Unknown,0
195762162,14,7172632,Urban Code,URBAN-CODE,Urban_Code,7087,2121,0,1.07,0,Unknown,0
195762163,14,7172677,Urban Code,URBAN-CODE,Urban_Code,7088,2129,0,1.02,0,Unknown,0
195762165,14,7170966,Urban Code,URBAN-CODE,Urban_Code,7036,2055,0,1.141,0,Unknown,0
195762260,14,6928037,Urban Code,URBAN-CODE,Urban_Code,6982,2629,0,1.244,99999,Rurall,0
195762261,14,6928038,Urban Code,URBAN-CODE,Urban_Code,6982,2629,1.244,1.777,99998,Small Urban,0
195762262,14,6920984,Urban Code,URBAN-CODE,Urban_Code,2364,1696,0,2.638,99998,Small Urban,0
195762263,14,6920985,Urban Code,URBAN-CODE,Urban_Code,2364,1696,2.638,20.414,99999,Rurall,0
195762264,14,6920986,Urban Code,URBAN-CODE,Urban_Code,6953,1697,0,3.307,99999,Rurall,0
195762265,14,6920987,Urban Code,URBAN-CODE,Urban_Code,6953,1697,3.307,3.858,99998,Small Urban,0
195762362,14,6921061,Urban Code,URBAN-CODE,Urban_Code,2552,3143,0,1.943,77446,St. George,0
195762363,14,6918349,Urban Code,URBAN-CODE,Urban_Code,6860,3147,0,0.689,77446,St. George,0
195762365,14,6918437,Urban Code,URBAN-CODE,Urban_Code,6857,3151,0,1.071,77446,St. George,0
195762366,14,6919633,Urban Code,URBAN-CODE,Urban_Code,6887,3233,0,2.18,77446,St. George,0
195762367,14,6919677,Urban Code,URBAN-CODE,Urban_Code,6889,3234,0,0.91,77446,St. George,0
195762368,14,6919721,Urban Code,URBAN-CODE,Urban_Code,6888,3235,0,0.723,77446,St. George,0
195762166,14,6920957,Urban Code,URBAN-CODE,Urban_Code,2438,1318,0,4.591,99999,Rurall,0
195762167,14,6920958,Urban Code,URBAN-CODE,Urban_Code,2439,1320,0,7.099,99999,Rurall,0
195762168,14,6929216,Urban Code,URBAN-CODE,Urban_Code,6231,2840,0,1.493,72559,Provo-Orem,0
195762169,14,6929291,Urban Code,URBAN-CODE,Urban_Code,7010,2899,0,5.306,72559,Provo-Orem,0
