OBJECTID,Label,Route,Direction,Type_,Exit_Num,Ramp_Num,Beg_MP,End_MP,Speed_Limit,RteDirID,Shape_Length
257,0102P,0102,P,M,,,16.568,16.741,40,1392,372.477299628351
258,0258P,0258,P,M,,,0.926,2.022,60,428,2269.77124588779
259,0144P,0144,P,M,,,1.975,2.478,20,338,1067.24839251502
260,0125P,0125,P,M,,,18.617,21.012,65,1408,5013.0188584546
261,0171P,0171,P,M,,,0,1.557,40,346,3327.45369575297
262,0089P,0089,P,M,,,77.648,80.981,55,1384,6780.40981557974
263,0118P,0118,P,M,,,0.821,5.065,55,1403,8739.19649599191
264,0313P,0313,P,M,,,3.578,22.506,50,1289,39051.6172376232
265,0021P,0021,P,M,,,77.288,77.745,35,305,946.643025542316
266,0029P,0029,P,M,,,4.343,18.334,35,307,29175.3700448925
267,0075P,0075,P,M,,,0.958,2.023,55,1373,2257.41498928011
268,0210P,0210,P,M,,,9.956,11.534,30,415,3322.33222514948
269,0038P,0038,P,M,,,14.597,18.952,55,1348,9415.12257363156
270,0068P,0068,P,M,,,33.83,37.976,55,1368,8795.24955817522
271,0014P,0014,P,M,,,12.224,17.454,40,1330,10459.3831231861
272,0162P,0162,P,M,,,23.859,31.852,65,344,16159.8854049882
273,0084P,0084,P,M,,,91.375,92.794,65,1381,3033.10625543899
274,0114P,0114,P,M,,,0,1.805,35,330,3868.82624105984
275,0266P,0266,P,M,,,2.415,8.12,40,431,12065.4506812491
276,0143P,0143,P,M,,,3.517,9.123,50,1418,11274.5170656918
277,0044P,0044,P,M,,,19.946,21.899,55,1353,4158.62272698469
278,0073P,0073,P,M,,,31.278,35.085,55,1372,8040.72166141523
279,0200P,0200,P,M,,,0,1.565,55,352,3427.32999422575
280,0006P,0006,P,M,,,175.076,182.038,60,1332,14687.3108492654
281,0008P,0008,P,M,,,0,1.303,40,303,2647.37221657443
282,0024P,0024,P,M,,,51.451,51.631,40,1340,372.096310305495
283,0016P,0016,P,M,,,21.233,21.838,55,1334,1292.31320625846
284,0065P,0065,P,M,,,0,2.481,50,1367,5259.27272710535
285,089AP,089A,P,M,,,0,1.79,55,301,3637.59484258107
286,0072P,0072,P,M,,,7.999,8.31,40,1371,638.44011534151
287,0150P,0150,P,M,,,5.36,54.742,55,340,104861.836674613
288,0089P,0089,P,M,,,285.052,307.463,65,1384,47194.5717911954
289,0101P,0101,P,M,,,4.448,4.869,35,1391,906.619256759347
290,0260P,0260,P,M,,,1.957,4.179,55,429,4622.86847976275
291,0040P,0040,P,M,,,155.141,156.806,55,310,3521.07638823479
292,0133P,0133,P,M,,,1.196,1.585,45,335,807.478423208235
293,0154N,0154,N,M,,,22.093,24.319,55,1425,4714.93453406641
294,0089P,0089,P,M,,,131.007,131.25,30,1384,510.620396025054
295,0059P,0059,P,M,,,21.826,22.206,30,315,789.706431422814
296,0126P,0126,P,M,,,14.298,16.435,50,1409,4597.91905147009
297,0174P,0174,P,M,,,0,8.122,65,1438,16910.4065671441
298,0032P,0032,P,M,,,21.359,27.93,55,1345,13986.4035799751
299,0016P,0016,P,M,,,10.862,19.663,65,1334,18758.1886265163
300,0117P,0117,P,M,,,8.885,9.327,45,331,924.104618077031
301,0009P,0009,P,M,,,27.366,29.509,40,1326,4331.09257115772
302,0301P,0301,P,M,,,0.377,0.409,30,441,67.4389858393608
303,0012P,0012,P,M,,,0,2.497,55,1328,5094.92306276973
304,0021P,0021,P,M,,,1.669,75.738,65,305,152584.699580134
305,0030P,0030,P,M,,,97.344,98.027,55,1343,1470.38879104907
306,0241P,0241,P,M,,,0,0.415,40,426,880.359156911565
307,0040N,0040,N,M,,,1.272,3.385,55,1350,4508.103653097
308,0190P,0190,P,M,,,7.103,15.448,45,404,17634.4880940711
309,0012P,0012,P,M,,,21.993,25.145,60,1328,6443.66374184755
310,0120P,0120,P,M,,,2.975,3.886,45,332,1869.10187737431
311,0173P,0173,P,M,,,3.189,4.822,40,1437,3453.01549109997
312,0085P,0085,P,M,,,3.606,12.507,55,6660,18912.2707108241
313,0110P,0110,P,M,,,0,3.495,40,329,7477.51112886419
314,0285P,0285,P,M,,,0,0.333,,364,739.403226301934
315,0121P,0121,P,M,,,22.361,23.587,55,1405,2582.68371589984
316,0028P,0028,P,M,,,30.369,37.877,65,1342,15753.3407963141
317,0051P,0051,P,M,,,0,0.653,45,1357,1393.65459295951
318,0080N,0080,N,M,,,179.631,196.68,80,6663,36561.508153235
319,0209P,0209,P,M,,,1.189,1.974,40,414,1666.03307240788
320,0036P,0036,P,M,,,47.395,48.558,40,1347,2458.10034268689
321,0068P,0068,P,M,,,42.413,50.38,45,1368,16969.7016294242
322,0013P,0013,P,M,,,8.44,9.233,50,1329,1708.38694554266
323,0157P,0157,P,M,,,4.335,4.576,40,1428,503.685046025425
324,0089P,0089,P,M,,,417.77,427.474,55,1384,20658.4860775937
325,0102P,0102,P,M,,,17.722,19.709,55,1392,4284.30862432909
326,0252P,0252,P,M,,,4.255,6.539,55,5943,4952.60742347974
327,0142P,0142,P,M,,,16.702,17.353,40,1417,1410.31384504712
328,0043P,0043,P,M,,,8.658,10.557,55,311,4064.05266036228
